model,avg_rank,top1_count,win_vs_STAR,draw_vs_STAR,loss_vs_STAR,wilcoxon_p
WEASEL+MUSE,7.482142857142857,4,19,2,7,0.0033494461537552354
MiniRocket,5.689655172413793,5,19,3,7,0.028932707856921175
LCEM,6.65,5,22,3,5,0.008508093447121045
MLSTM-FCNs,9.25,0,27,1,2,4.7977951844499375e-06
Tapnet,8.2,2,24,2,4,6.129463457764176e-05
Shapenet,7.0,2,22,5,3,0.0008066085891129927
WHEN,3.2666666666666666,4,8,8,14,0.10804346898476003
ConvTran,5.551724137931035,5,15,5,9,0.06322345114884252
SVPT,5.566666666666666,4,19,4,7,0.012345755058714351
ShapeFormer,2.6333333333333333,16,8,6,16,0.07180263545120735
STAR,4.116666666666666,4,,,,
